what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338312585330
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1338312585330
java.specification.name,sysinfo,,,"Java Platform API Specification",1338312585330
java.specification.vendor,sysinfo,,,"Oracle Corporation",1338312585330
java.specification.version,sysinfo,,,"1.7",1338312585330
java.vendor,sysinfo,,,"Oracle Corporation",1338312585330
java.version,sysinfo,,,"1.7.0_02",1338312585330
java.vm.info,sysinfo,,,"mixed mode",1338312585330
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1338312585330
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338312585330
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1338312585330
java.vm.specification.version,sysinfo,,,"1.7",1338312585330
java.vm.vendor,sysinfo,,,"Oracle Corporation",1338312585330
java.vm.version,sysinfo,,,"22.0-b10",1338312585330
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338312604731
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1338312604943
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1338312604945
